title,year,imdb_score,imdb_votes
Shanghai,2012,7.2,10785
Irreplaceable You,2018,6.4,10748
Ravenous,2017,5.8,10691
Revolt,2017,5.3,10675
Naomi and Ely's No Kiss List,2015,5.5,10670
Sweetheart,2019,5.8,10653
Middle School: The Worst Years of My Life,2016,6.1,10555
Hum Saath-Saath Hain,1999,6.3,10543
Krisha,2015,7.1,10523
Into the Inferno,2016,7.2,10481
Rogue City,2020,6.1,10478
We Have Always Lived in the Castle,2018,5.6,10474
Master Z: The Ip Man Legacy,2018,6.5,10454
Win It All,2017,6.2,10440
2 Hearts,2020,6.3,10414
2036 Origin Unknown,2018,4.3,10388
The Sky Is Pink,2019,7.6,10350
The Decline,2020,6.0,10332
The Haunting of Molly Hartley,2008,3.9,10326
Alone in Berlin,2016,6.5,10288
The Block Island Sound,2020,5.4,10257
Initial D,2005,6.4,10249
Phantom,2015,6.0,10231
The Last Mercenary,2021,5.3,10217
Moonwalkers,2015,6.1,10207
Kara Bela,2015,6.7,10193
Nappily Ever After,2018,6.4,10159
Dog Eat Dog,2016,4.8,10159
What Keeps You Alive,2018,5.7,10157
Kevin Hart: What Now?,2016,6.0,10151
He's Out There,2018,5.3,10126
Dolphin Tale 2,2014,6.4,10103
Come and Find Me,2016,5.7,10092
Await Further Instructions,2018,4.9,10078
Sextuplets,2019,4.5,10073
Hükümet Kadin,2013,6.5,10073
I'm No Longer Here,2019,7.3,9984
The Lodgers,2017,5.1,9956
Golmaal Returns,2008,5.3,9956
Skylines,2020,4.8,9903
Love Don't Cost a Thing,2003,5.3,9887
Patiala House,2011,5.7,9877
"Oh, Ramona!",2019,4.8,9817
Nayattu,2021,8.0,9812
Rattlesnake,2019,4.7,9804
Prey,2021,4.3,9801
The Little Mermaid,2018,4.3,9784
Mac & Devin Go to High School,2012,4.4,9782
Agneepath,1990,7.6,9765
Our House,2018,5.3,9715
The Assignment,2016,4.7,9713
Awara Paagal Deewana,2002,6.3,9707
Gimme Shelter,2013,6.4,9686
Secret,2007,7.5,9662
BLAME!,2017,6.6,9644
Yuva,2004,7.3,9626
Pee-wee's Big Holiday,2016,6.1,9597
The Debt Collector,2018,5.9,9597
Jaan-E-Mann: Let's Fall in Love... Again,2006,6.1,9583
Himmatwala,2013,1.8,9556
I'll See You in My Dreams,2015,6.7,9552
High Flying Bird,2019,6.2,9533
Clinical,2017,5.1,9518
Welcome Home,2018,5.2,9518
The Man Who Feels No Pain,2018,7.3,9514
Kevin Hart: Let Me Explain,2013,6.7,9511
The Square,2013,8.0,9507
Greater,2016,7.3,9502
The 2nd,2020,3.9,9497
Trespass Against Us,2016,5.8,9495
Rocky Handsome,2016,6.8,9493
Love Per Square Foot,2018,7.1,9489
Khoobsurat,2014,6.4,9457
How to Be a Player,1997,5.3,9454
Sleight,2016,5.9,9452
The Land of Steady Habits,2018,6.2,9336
Lila & Eve,2015,5.9,9321
The Gathering,2003,5.6,9274
Small Crimes,2017,5.8,9245
Pandora,2016,6.7,9235
Eye For An Eye,2019,6.6,9173
Mandela,2021,8.3,9161
Phir Bhi Dil Hai Hindustani,2000,6.2,9152
Shaitan,2011,7.2,9143
The Con Is On,2018,3.8,9073
A Kind of Murder,2016,5.3,9050
Sentinelle,2021,4.8,9044
Your Name Engraved Herein,2020,7.3,9036
Bad Day for the Cut,2017,6.5,9033
I Hate Luv Storys,2010,5.7,9031
Delirium,2018,5.7,9022
Duplicate,1998,5.6,9014
The Incredible Jessica James,2017,6.5,9007
Piercing,2018,5.5,8974
Same Kind of Different as Me,2017,6.6,8970
What Lies Below,2020,4.4,8954
Unacknowledged,2017,7.0,8933
Raja Hindustani,1996,6.1,8910
Naruto the Movie: Ninja Clash in the Land of Snow,2004,6.6,8896
Term Life,2016,5.6,8889
The Clapper,2017,5.2,8863
Skin Trade,2014,5.6,8812
April and the Extraordinary World,2015,7.2,8802
Viceroy's House,2017,6.7,8765
Smoke & Mirrors,2016,6.8,8742
The Climb,2017,6.9,8685
14 Blades,2010,6.3,8672
Kannum Kannum Kollaiyadithaal,2020,7.6,8663
Amar Akbar Anthony,1977,7.4,8658
"Bikram: Yogi, Guru, Predator",2019,6.7,8639
Brother in Love,2019,7.0,8611
Bittersweet,2010,8.0,8579
Mune: Guardian of the Moon,2014,7.1,8562
Jem and the Holograms,2015,4.2,8552
Serious Men,2020,6.8,8533
Last Breath,2019,7.6,8526
The Old Ways,2020,5.4,8519
School Daze,1988,6.1,8503
A Christmas Prince: The Royal Baby,2019,5.4,8479
Blue Miracle,2021,6.6,8463
Search Party,2014,5.6,8450
The Ballad of Lefty Brown,2017,6.3,8446
Drive,2019,3.2,8442
Good Game: The Beginning,2018,4.8,8436
Once Upon a Time in London,2019,5.2,8427
For Colored Girls,2010,6.3,8413
Silver Skates,2020,7.1,8404
Half Girlfriend,2017,4.7,8389
Operation Red Sea,2018,6.6,8379
Mascots,2016,5.8,8367
The Other Side of the Wind,2018,6.7,8343
Lupt,2018,4.6,8309
The Trigger Effect,1996,5.7,8307
Shorts,2009,4.7,8306
Here Alone,2016,5.6,8298
Between Worlds,2018,3.9,8274
Spanish Affair 2,2015,5.4,8269
HOMECOMING: A film by Beyoncé,2019,7.6,8268
Manglehorn,2014,5.5,8265
After Porn Ends,2012,5.7,8217
Dabbe: The Possession,2013,6.8,8212
Ek Hasina Thi,2004,7.5,8212
Leyla Everlasting,2020,3.7,8181
Miss Stevens,2016,6.5,8179
Socha Na Tha,2005,7.4,8173
Inside Man: Most Wanted,2019,5.6,8171
Dismissed,2017,5.7,8163
Trailer Park Boys: Countdown to Liquor Day,2009,7.3,8158
Bokeh,2017,5.0,8143
Drunk Parents,2019,4.0,8133
Unfinished Song,2012,6.9,8129
Offering to the Storm,2020,6.2,8106
The Operative,2019,5.8,8067
Poms,2019,6.1,8045
A Fortunate Man,2018,7.2,8041
Chaar Sahibzaade,2014,7.7,8037
Little Men,2016,6.7,8037
Siren,2016,5.3,8029
All My Friends Are Dead,2020,5.9,8028
Kiss the Ground,2020,8.1,7957
Barry,2016,6.0,7954
Pokémon the Movie: I Choose You!,2017,6.3,7949
MILF,2018,4.8,7934
Dude,2018,5.1,7932
Results,2015,5.5,7915
Unknown Origins,2020,6.1,7892
Honey 2,2011,5.2,7887
Get Me Roger Stone,2017,7.3,7885
Jack and the Cuckoo-Clock Heart,2013,6.9,7852
Naam Shabana,2017,6.2,7851
Dear Ex,2018,7.3,7828
America: The Motion Picture,2021,5.6,7819
Death of Me,2020,4.4,7810
Violet Evergarden: Eternity and the Auto Memory Doll,2019,7.5,7794
Butterfield 8,1960,6.3,7760
American Son,2019,5.9,7745
The Bad Education Movie,2015,5.8,7735
The Fear of 13,2015,7.6,7724
I Am All Girls,2021,6.0,7708
Pari,2018,6.6,7701
The Most Hated Woman in America,2017,6.1,7665
Dedh Ishqiya,2014,7.0,7653
Anjaam,1994,6.6,7642
The Endless Trench,2019,7.2,7620
Sorry To Disturb,2008,8.1,7613
BLACKPINK: Light Up the Sky,2020,7.3,7599
Team Foxcatcher,2016,7.2,7537
Action Replayy,2010,4.4,7524
Chamatkar,1992,6.5,7516
Catfight,2016,5.9,7507
Dick Johnson Is Dead,2020,7.4,7500
Berlin Kaplani,2012,5.2,7494
Ek Main Aur Ekk Tu,2012,5.8,7472
Judwaa,1997,6.2,7458
Undefeated,2011,7.7,7456
Time to Hunt,2020,6.3,7434
Kurt & Courtney,1998,6.1,7433
Lying and Stealing,2019,5.5,7429
Secrets of the Saqqara Tomb,2020,7.2,7417
The Confirmation,2016,6.4,7407
XOXO,2016,5.3,7398
AlphaGo,2017,7.8,7387
O Kadhal Kanmani,2015,7.4,7385
In Too Deep,1999,6.2,7377
Tikli and Laxmi Bomb,2017,7.0,7349
Joker,2012,2.5,7340
Dragon Tiger Gate,2006,6.1,7339
The Parole Officer,2001,6.3,7321
Altered Carbon: Resleeved,2020,6.4,7308
House Party 2,1991,5.3,7306
Edge of Seventeen,1998,6.8,7291
Avicii: True Stories,2017,7.6,7289
Blind Date,2015,6.6,7289
Uncorked,2020,6.4,7288
Effie Gray,2014,6.0,7283
Audrie & Daisy,2016,7.2,7271
100 Meters,2016,7.5,7271
The Pixar Story,2007,7.7,7262
Being Elmo: A Puppeteer's Journey,2011,7.6,7261
Ferrari Ki Sawaari,2012,6.4,7255
Hunt to Kill,2010,5.1,7243
One of Us,2017,7.0,7241
Resort to Love,2021,5.7,7238
The Ruthless,2019,6.2,7234
The Four Seasons,1981,6.8,7233
3 Generations,2015,6.0,7197
Devil's Gate,2017,5.1,7194
LA 92,2017,8.2,7175
#realityhigh,2017,5.1,7149
The Last Laugh,2019,5.6,7139
Fatal Affair,2020,4.6,7130
Inequality for All,2013,8.0,7123
The Breaker Upperers,2018,5.9,7122
Hurricane Bianca,2016,5.9,7115
Operation Odessa,2018,7.7,7109
Whisky,2004,7.1,7106
The Wedding Guest,2018,5.8,7092
The Warning,2018,5.9,7075
Hunterrr,2015,7.0,7039
Pee Mak,2013,7.2,7032
"Bob Ross: Happy Accidents, Betrayal & Greed",2021,6.9,7018
Domino,2019,4.5,7003
SMOSH: The Movie,2015,3.3,7003
Grand Masti,2013,4.5,6996
Voyeur,2017,6.1,6991
An Evening with Beverly Luff Linn,2018,5.8,6989
Angamaly Diaries,2017,7.9,6961
The Motive,2017,6.5,6936
Walking Out,2017,5.8,6925
Kidnapping Stella,2019,4.9,6907
7 Khoon Maaf,2011,6.3,6894
Tune in for Love,2019,7.2,6881
The 101-Year-Old Man Who Skipped Out on the Bill and Disappeared,2016,6.3,6881
68 Kill,2017,6.0,6856
Jonathan,2018,5.9,6824
Becoming,2020,7.0,6802
Take Me,2017,6.1,6794
Crazy About Her,2021,6.6,6784
Bob Lazar: Area 51 & Flying Saucers,2018,5.6,6780
Trollhunters: Rise of the Titans,2021,6.6,6772
Starship Troopers: Traitor of Mars,2017,5.5,6768
Indoo Ki Jawani,2020,3.4,6768
Detour,2016,6.2,6765
Conor McGregor: Notorious,2017,7.1,6755
Fun Mom Dinner,2017,5.3,6726
Ajeeb Daastaans,2021,6.7,6726
Pokémon: Mewtwo Strikes Back - Evolution,2019,5.7,6718
Mumbai Meri Jaan,2008,7.7,6686
Where the Money Is,2000,6.3,6662
Thank You,2011,4.8,6656
Stephanie,2017,5.8,6649
Frank & Lola,2016,5.9,6637
Forensic,2020,6.8,6634
Psychokinesis,2018,6.0,6630
Kevin Hart: Laugh at My Pain,2011,7.3,6620
Bad Seeds,2018,7.2,6581
Assimilate,2019,5.3,6570
Kis Kisko Pyaar Karoon,2015,5.6,6570
An Easy Girl,2019,5.6,6550
Escaping Tel Aviv,2009,7.3,6550
The Great Battle,2018,7.0,6545
The Seven Five,2014,7.6,6533
Goldstone,2016,6.6,6509
De Palma,2015,7.4,6499
13 Cameras,2015,5.2,6495
Romeo Akbar Walter,2019,6.7,6477
The Perfect Dictatorship,2014,7.2,6476
Anjaan,2014,5.3,6460
The Hollow Point,2016,5.4,6458
"LSD: Love, Sex Aur Dhokha",2010,7.1,6425
Miss Julie,2014,5.5,6419
The Adderall Diaries,2015,5.1,6416
St. Agatha,2018,4.8,6373
Midnight at the Magnolia,2020,5.8,6373
Naruto Shippuden the Movie: Blood Prison,2011,7.1,6371
Holy Hell,2016,7.0,6351
Kaal,2005,4.7,6345
Baazaar,2018,6.5,6343
Disclosure,2020,8.1,6341
Elisa & Marcela,2019,6.6,6325
Good Hair,2009,6.9,6323
Kismat Konnection,2008,5.3,6322
Force 2,2016,6.2,6291
The Original Kings of Comedy,2000,6.8,6283
The Last Days,1998,7.9,6279
Sour Grapes,2016,7.2,6266
Maine Pyaar Kyun Kiya,2005,5.6,6263
The Devil Below,2021,4.3,6259
The Last Blockbuster,2020,6.7,6259
Taal,1999,6.6,6257
Beats,2019,6.4,6233
Shiny_Flakes: The Teenage Drug Lord,2021,7.3,6221
Heavy,1995,6.7,6216
Black Snow,2017,6.2,6208
Strange but True,2019,5.9,6190
Fire at Sea,2016,6.7,6172
3022,2019,4.5,6154
The Lost Husband,2020,6.1,6152
Do Dooni Chaar,2010,7.5,6149
Ghost Stories,2020,4.4,6140
Advantageous,2015,6.1,6129
The Runner,2015,4.7,6128
Class of '83,2020,5.8,6127
The Golem,2018,5.5,6121
Band Aid,2017,6.6,6115
Aarakshan,2011,6.2,6106
Azhar,2016,5.7,6102
Overnight Republic,2017,5.8,6099
The Bachelors,2017,6.8,6090
Don Verdean,2015,5.4,6044
Richard Pryor: Live in Concert,1979,8.0,6037
Love Jones,1997,7.3,6031
Rising High,2020,6.0,6026
Rebirth,2016,5.0,6022
Soorma,2018,7.3,6021
I Am Michael,2015,5.6,6019
Just Another Christmas,2020,6.7,6014
One 2 Ka 4,2001,5.5,6004
The Plagues of Breslau,2018,6.0,6004
Rahasya,2015,7.5,5994
Dil,1990,6.6,5992
Illang: The Wolf Brigade,2018,5.9,5986
Your Son,2018,6.1,5980
Furie,2019,6.3,5976
Concussion,2013,5.6,5970
Pelé,2021,7.0,5967
A Flying Jatt,2016,3.1,5962
The Seventh Day,2021,4.5,5954
The Show,2017,5.6,5937
Bombay Talkies,2013,6.6,5928
The Diabolical,2015,4.7,5918
Casting JonBenet,2017,6.1,5916
Us and Them,2018,7.4,5909
Enter the Warriors Gate,2016,5.4,5906
122,2019,5.6,5887
A Glimpse Inside the Mind of Charles Swan III,2012,4.6,5883
Shirkers,2018,7.3,5873
Raising Victor Vargas,2002,7.2,5867
Chasing Coral,2017,8.0,5854
Ginny Weds Sunny,2020,5.7,5845
Benji,2018,6.3,5835
Woody Woodpecker,2017,4.2,5832
Njan Prakashan,2018,7.7,5827
Fitoor,2016,5.4,5826
A Week Away,2021,5.8,5795
Kocan Kadar Konus,2015,6.1,5790
Take Your Pills,2018,6.3,5789
Rocks,2019,7.4,5781
Cuba and the Cameraman,2017,8.2,5778
Cairo Station,1958,7.5,5768
Despite Everything,2019,5.4,5763
Travis Scott: Look Mom I Can Fly,2019,6.3,5760
The Last Face,2016,5.0,5759
Mojave,2015,5.2,5754
House Party 3,1994,4.7,5753
Candy Jar,2018,5.8,5737
Morris from America,2016,6.3,5734
Biggie: I Got a Story to Tell,2021,6.8,5733
Mission of Honor,2018,5.9,5724
Monster Family,2017,4.8,5710
Ultras,2020,6.2,5703
Bebe's Kids,1992,5.9,5698
One-Way to Tomorrow,2020,5.6,5696
The Forty-Year-Old Version,2020,7.2,5692
Naruto the Movie 2: Legend of the Stone of Gelel,2005,6.3,5685
Skater Girl,2021,6.7,5677
Kurbaan,2009,5.7,5675
Svaha: The Sixth Finger,2019,6.3,5674
Hükümet Kadin 2,2013,6.1,5666
Adú,2020,6.8,5653
Off Course,2015,5.8,5642
The Daughter,2015,6.6,5642
Sen Kimsin?,2012,5.0,5642
Operation Mekong,2016,6.5,5591
SPF-18,2017,3.2,5591
Quincy,2018,7.6,5570
Romantik Komedi,2010,5.3,5557
Lovesong,2016,6.3,5553
Teenage Cocktail,2016,5.8,5541
Perdida,2018,5.7,5521
May the Devil Take You,2018,5.9,5518
Satyagraha,2013,5.9,5500
Chopsticks,2019,6.5,5490
MFKZ,2017,6.7,5484
Baggio: The Divine Ponytail,2021,6.1,5483
Hazaaron Khwaishein Aisi,2003,7.9,5482
Dad,1989,6.3,5479
Pottersville,2017,5.5,5475
Hell and Back,2015,5.4,5468
Xtreme,2021,5.8,5466
Tortilla Soup,2001,6.7,5464
Baadshaho,2017,4.9,5464
Apaharan,2005,7.4,5458
Chashme Baddoor,2013,5.4,5453
Ghanchakkar,2013,5.9,5436
Aiyaary,2018,5.3,5434
Locked on You,2018,6.2,5434
Amateur,2018,5.9,5426
The Minimalists: Less Is Now,2021,5.9,5425
Sudani from Nigeria,2018,8.1,5420
Girlfriend's Day,2017,5.2,5399
Deliha,2014,4.6,5396
Bottom of the World,2017,5.0,5389
Naruto Shippuden: The Movie,2007,6.7,5363
Animal World,2018,6.4,5354
Players,2012,4.4,5348
Ghayal,1990,7.7,5341
Handsome: A Netflix Mystery Movie,2017,5.2,5341
All Together Now,2020,6.5,5332
Michael,2011,6.9,5331
The Cakemaker,2017,7.3,5324
Gridlocked,2015,5.8,5316
Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,2006,6.3,5288
Temple,2017,3.7,5287
Amar,2017,5.1,5275
Simon Killer,2012,6.3,5270
Show Dogs,2018,4.0,5237
Mean Dreams,2016,6.3,5237
Stereo,2014,6.5,5235
Anesthesia,2015,6.1,5234
Rangoon,2017,5.6,5224
Rampant,2018,6.3,5223
Kahlil Gibran's The Prophet,2014,7.0,5218
Laal Rang,2016,7.8,5213
A Perfect Ending,2012,5.6,5212
Railroad Tigers,2016,5.8,5183
Bheeshma,2020,6.6,5182
A Babysitter's Guide to Monster Hunting,2020,5.4,5174
The Awakening of Motti Wolkenbruch,2018,6.6,5157
The World Is Yours,2018,6.3,5148
Made in China,2019,6.3,5147
Samson,2018,4.5,5144
The Maus,2017,4.4,5132
A Secret Love,2020,7.8,5121
Nobody Knows I'm Here,2020,6.5,5118
Head Count,2018,5.4,5099
Bad Match,2017,5.6,5096
Made You Look: A True Story About Fake Art,2020,7.0,5088
I Am Kalam,2010,7.9,5085
Pusher,2012,5.5,5084
Biggie & Tupac,2002,6.7,5081
Secret Magic Control Agency,2021,6.2,5077
The Binding,2020,4.8,5072
Afterschool,2008,6.0,5066
Get Santa,2014,6.3,5055
Just Another Love Story,2007,7.1,5053
No Game No Life: Zero,2017,7.3,5045
The 8th Night,2021,5.3,5034
Why Did You Kill Me?,2021,5.6,5028
Summer of '92,2015,6.8,5024
Rush: Beyond the Lighted Stage,2010,8.4,5023
Sardar Ka Grandson,2021,4.3,5016
The Beast,2020,5.2,5013
For the Love of Spock,2016,7.6,5010
Step Sisters,2018,5.5,5009
Lost in London,2017,6.1,5008
My Big Night,2015,6.1,5000
Hello Brother,1999,4.7,4995
Air Strike,2018,3.2,4990
The Outcasts,2017,5.4,4979
Asmaa,2011,8.1,4979
Ek Ladki Ko Dekha Toh Aisa Laga,2019,5.6,4969
Double World,2020,6.2,4969
S.W.A.T.: Under Siege,2017,4.6,4949
The After Party,2018,5.8,4945
Wild Oats,2016,5.7,4939
Küçük Esnaf,2016,5.6,4938
Revenger,2018,5.7,4932
Incir Receli 2,2014,6.0,4931
Duck Butter,2018,5.2,4925
Expedition Happiness,2017,5.9,4925
God's Not Dead: A Light in Darkness,2018,4.5,4922
Imperial Dreams,2014,6.7,4906
Guilty,2020,5.4,4897
Belgica,2016,6.7,4896
My Little Pony: A New Generation,2021,6.8,4893
Manto,2018,7.3,4868
He Named Me Malala,2015,7.0,4860
In the Shadow of Iris,2016,6.1,4859
Our Lovers,2016,6.7,4851
The Incident,2014,6.3,4849
The Aerial,2007,7.3,4847
Ghost House,2017,4.7,4847
Ishq Vishk,2003,6.1,4839
An Interview with God,2018,5.8,4821
Chasing the Dragon,2017,6.7,4805
Tony Robbins: I Am Not Your Guru,2016,6.6,4801
Holy Camp!,2017,6.1,4787
Tere Naal Love Ho Gaya,2012,5.9,4784
Battle,2018,5.9,4777
At First Light,2018,5.6,4777
The Crimes That Bind,2020,6.7,4774
Cutie and the Boxer,2013,7.2,4773
The Battered Bastards of Baseball,2014,8.0,4769
Break Ke Baad,2010,5.2,4762
The Giant,2017,6.6,4748
Struggle: The Life and Lost Art of Szukalski,2018,7.9,4746
We the Animals,2018,6.9,4731
Seventeen,2019,7.2,4727
Why Do Fools Fall in Love,1998,6.4,4725
Darc,2018,5.8,4723
Heroine,2012,5.0,4721
Head On,1998,6.5,4720
Black,2015,7.0,4718
Raja Natwarlal,2014,6.2,4717
Burn Out,2017,6.2,4705
Tony Manero,2008,6.8,4663
Band of Robbers,2015,6.0,4660
Memories of a Murderer: The Nilsen Tapes,2021,6.3,4660
My Fuhrer,2007,5.5,4658
Ram Jaane,1995,5.4,4658
Fiza,2000,6.0,4656
Bawarchi,1972,8.1,4650
The Pass,2016,6.5,4649
Princess Cyd,2017,6.7,4647
Shrek the Musical,2013,6.9,4639
The Girl King,2015,5.9,4638
Arès,2016,6.2,4634
Haraamkhor,2015,6.3,4633
Kyaa Kool Hain Hum 3,2016,2.0,4627
The Longshots,2008,5.6,4624
Masoom,1983,8.3,4623
6 Balloons,2018,5.9,4621
All Day and a Night,2020,6.0,4619
Ee Nagaraniki Emaindi,2018,8.0,4613
Happy Anniversary,2018,5.7,4594
Villain,2020,5.9,4592
Malicious,2018,5.1,4592
Ai Weiwei: Never Sorry,2012,7.5,4567
Bon Cop Bad Cop 2,2017,6.6,4549
Spy Time,2015,6.0,4527
Bombshell: The Hedy Lamarr Story,2017,7.4,4523
Humko Deewana Kar Gaye,2006,5.2,4521
Mubarakan,2017,5.6,4520
A Tale of Love and Darkness,2015,6.0,4507
The Similars,2015,5.8,4503
The Hard Way,2019,4.8,4499
Williams,2017,7.6,4482
Fatima,2020,6.6,4474
Gun City,2018,6.3,4472
18 Presents,2020,6.9,4467
Nobody Speak: Trials of the Free Press,2017,6.5,4458
Hadi İnşallah,2014,5.4,4457
1920,2008,6.4,4455
The Keeping Hours,2017,6.3,4438
Revenge of the Green Dragons,2014,5.3,4428
Rocco,2016,5.7,4427
The Father Who Moves Mountains,2021,5.6,4427
Lucid Dream,2017,6.1,4421
Return To The 36th Chamber,1980,6.9,4420
The Lovers,2017,6.1,4409
My Happy Family,2017,7.4,4403
The Legacy of a Whitetail Deer Hunter,2018,5.5,4402
Superlopez,2018,5.4,4398
Duck Duck Goose,2018,5.8,4386
Be Somebody,2016,5.6,4378
My Mother's Wound,2016,7.3,4376
NiNoKuni,2019,6.1,4371
The Influence,2019,4.6,4369
Ronnie Coleman: The King,2018,7.0,4363
The Unknown Known,2013,7.0,4363
Bhoot,2003,6.4,4351
New Gods: Nezha Reborn,2021,6.8,4342
Mountain,2017,7.2,4335
Ungli,2014,5.8,4334
Kyaa Super Kool Hain Hum,2012,5.0,4327
Open Season: Scared Silly,2015,5.0,4326
White Fang,2018,6.9,4324
The Body,2019,5.4,4323
The Silence of the Marsh,2019,5.0,4322
The Model,2016,5.7,4322
Havenhurst,2016,4.8,4303
Madame Claude,2021,5.5,4297
Sword of Trust,2019,6.3,4274
When Angels Sleep,2018,5.5,4271
Teefa in Trouble,2018,7.0,4267
Strong Island,2017,6.4,4260
Uyare,2019,8.0,4260
Darna Mana Hai,2003,6.3,4254
Andhaghaaram,2020,7.5,4251
Jeans,1998,6.5,4246
The Basement,2018,4.0,4223
Lommbock,2017,6.6,4219
Dedemin Fisi,2016,5.6,4204
Wedding Unplanned,2017,6.1,4203
Mercy Black,2019,4.9,4203
Saheb Biwi Aur Gangster Returns,2013,6.7,4198
Travel Mates 2,2018,5.8,4189
U Turn,2016,7.4,4188
Zaki Chan,2005,6.6,4186
Iverson,2014,7.1,4168
Fireworks,2017,5.6,4165
Luv Shuv Tey Chicken Khurana,2012,6.6,4155
"Berlin, I Love You",2019,4.7,4154
Welcome to New York,2014,5.6,4144
Dilan 1990,2018,7.0,4139
Children of the Sea,2019,6.5,4126
World Famous Lover,2020,5.0,4123
The Bygone,2019,5.6,4103
Love on Delivery,1994,6.9,4078
Man in Love,2021,7.1,4064
Tarek's Situation,2006,6.9,4063
Kills on Wheels,2016,7.1,4050
Only,2019,5.1,4049
Rip Tide,2017,5.5,4041
American Hangman,2019,5.9,4040
The Drug King,2018,6.2,4038
Khalnayak,1993,7.1,4031
"Crack: Cocaine, Corruption & Conspiracy",2021,6.7,4027
The Young Messiah,2016,5.7,4022
Kyaa Kool Hai Hum,2005,6.1,4020
Lucky: No Time for Love,2005,4.6,4019
Sand Storm,2016,6.8,4018
HOMUNCULUS,2021,5.5,4017
I Am Bolt,2016,7.1,4017
Planetarium,2016,4.6,4016
Accident,2009,6.6,4011
Squared Love,2021,5.1,4010
Riot,2015,5.1,4005
Friendsgiving,2020,4.5,4001
Mr. Roosevelt,2017,6.2,3995
King's Ransom,2005,4.4,3991
Last Summer,2021,6.2,3983
Kings,2017,5.1,3979
Robin Hood: The Rebellion,2018,3.3,3977
Tigertail,2020,6.6,3959
Psycho,2020,6.2,3958
I Am,2010,7.5,3955
Iceman,2014,4.8,3942
Irul,2021,5.8,3922
Haseena Maan Jaayegi,1999,6.3,3917
Little Sister,2016,6.3,3912
Miss Representation,2011,7.5,3908
Kappela,2020,7.5,3906
Görümce,2016,5.1,3892
Savage Dog,2017,5.0,3886
Go Karts,2020,5.9,3872
Blaze,2018,6.6,3856
Hot Bot,2016,3.3,3853
The Cruise,1970,7.5,3850
Satte Pe Satta,1982,7.2,3848
Manhunt,2017,5.2,3835
Blind Detective,2013,6.4,3830
Budapest,2018,5.5,3826
Sniper: Special Ops,2016,3.0,3815
Tread,2019,7.1,3811
Chal Mere Bhai,2000,4.7,3809
90 ML,2019,3.3,3801
Chronicle of an Escape,2006,7.1,3795
Natural Born Pranksters,2016,3.6,3794
Welcome Mr. President,2013,6.2,3788
And Tomorrow the Entire World,2020,6.0,3787
"Houston, We Have a Problem!",2016,7.8,3787
Mercy,2016,4.2,3786
Gagarin: First in Space,2013,6.5,3783
"Love, Surreal and Odd",2017,5.6,3771
Pray Away,2021,6.5,3765
All the Devil's Men,2018,5.1,3763
Sweet & Sour,2021,6.6,3762
Studio 54,2018,7.0,3761
Genius,2018,5.1,3759
Keith Richards: Under the Influence,2015,7.1,3754
The History of Future Folk,2012,7.1,3746
Jacob's Ladder,2019,3.6,3744
1898: Our Last Men in the Philippines,2016,6.5,3743
Birthmarked,2018,5.7,3726
4L,2019,5.9,3719
Alien Warfare,2019,2.6,3708
We Are Family,2010,5.7,3698
Cleopatra Jones,1973,5.9,3697
Bleach the Movie: Hell Verse,2010,7.3,3696
Sadma,1983,8.3,3695
Varane Avashyamund,2020,6.9,3694
Gringo: The Dangerous Life of John McAfee,2016,6.7,3686
Qismat,2018,8.1,3685
CIA: Comrade in America,2017,6.4,3674
Rampage: President Down,2016,4.7,3664
An Ordinary Man,2017,5.7,3660
14 Cameras,2018,4.7,3658
And Breathe Normally,2018,6.9,3655
Filmworker,2017,7.4,3651
Miss Hokusai,2015,6.7,3650
Anelka: Misunderstood,2020,6.4,3644
Be Here Now,2015,8.5,3643
Daughters of the Dust,1991,6.6,3623
Battle Drone,2018,4.9,3616
The Last Man on the Moon,2014,7.4,3615
The Long Dumb Road,2018,6.1,3610
The First Temptation of Christ,2019,5.0,3592
MOTHER,2020,6.8,3588
The Tree of Blood,2018,6.4,3582
The Soul,2021,6.6,3578
The Ivory Game,2016,7.8,3577
Judy Moody and the Not Bummer Summer,2011,4.4,3574
Family Blood,2018,4.2,3566
Only the Dead,2015,7.7,3566
Toro,2016,5.9,3559
Mucho Mucho Amor: The Legend of Walter Mercado,2020,7.3,3555
Dabbe 6: The Return,2015,5.5,3519
Good Sam,2019,5.8,3515
School Life,2019,6.5,3514
Lady Bloodfight,2016,5.6,3496
Saving Capitalism,2017,6.8,3495
King Jack,2015,6.9,3491
Barbie: The Princess & the Popstar,2012,5.9,3490
Misha and the Wolves,2021,6.6,3487
Take the 10,2017,4.8,3475
Chaahat,1996,5.5,3450
Zozo,2005,6.5,3446
Life's Speed Bump,2006,6.6,3438
Edge of Fear,2018,4.5,3438
Five Elements Ninjas,1982,7.2,3434
Get In,2019,5.6,3434
Quién te cantará,2018,6.9,3429
She Made Me a Criminal,2006,6.5,3423
Big Stone Gap,2014,5.8,3423
Welcome to Sajjanpur,2008,6.9,3417
Motichoor Chaknachoor,2019,5.8,3412
Under the Riccione Sun,2020,5.6,3411
Trash Fire,2016,5.8,3404
Rize,2005,7.1,3404
Ordinary World,2016,5.5,3402
The Drowning,2016,4.5,3401
Solo,2018,5.0,3397
5Gang,2019,2.0,3394
He Even Has Your Eyes,2016,6.2,3394
