title,year,imdb_score,imdb_votes
Unfriended,2014,5.6,85251
Four Christmases,2008,5.7,85123
Doctor Zhivago,1965,7.9,84998
Battlefield Earth,2000,2.5,84857
Holidate,2020,6.2,84535
A Wednesday,2008,8.1,84515
Machete Kills,2013,5.6,84397
A Ghost Story,2017,6.8,84317
Inkheart,2008,6.1,84275
The Outlaw Josey Wales,1976,7.8,84008
Blue Ruin,2013,7.1,83894
The Fundamentals of Caring,2016,7.3,83790
The Dukes of Hazzard,2005,5.1,83607
House at the End of the Street,2012,5.5,83446
Stripes,1981,6.8,83321
Dark Skies,2013,6.3,82827
Seventh Son,2014,5.5,82377
Burning,2018,7.4,82343
No Reservations,2007,6.3,81821
Mr. Peabody & Sherman,2014,6.7,81687
Senna,2010,8.5,81621
The Blue Lagoon,1980,5.8,81008
Chloe,2009,6.3,80706
A Most Violent Year,2014,6.9,80187
Triple 9,2016,6.3,80137
The Water Diviner,2014,7.0,79707
Beethoven,1992,5.7,79407
Solomon Kane,2009,6.1,79162
Kal Ho Naa Ho,2003,7.9,79102
Seabiscuit,2003,7.3,78809
21 & Over,2013,5.8,78730
Dil Chahta Hai,2001,8.0,78307
Ninja Assassin,2009,6.3,78228
The Net,1995,6.0,77804
Creep,2014,6.3,77491
Daddy Day Care,2003,5.6,77013
Justin Bieber: Never Say Never,2011,1.7,76531
1922,2017,6.2,75799
XXX: State of the Union,2005,4.5,75459
Blackfish,2013,8.1,75256
Searching for Sugar Man,2012,8.2,75057
The Dark Crystal,1982,7.1,75011
The Secret Life of Pets 2,2019,6.4,74909
Kate,2021,6.3,74677
The Karate Kid Part III,1989,5.4,74565
Peppermint,2018,6.5,74000
Act of Valor,2012,6.4,73208
Mystery Men,1999,6.1,72759
After,2019,5.3,72504
The November Man,2014,6.3,72314
Set It Up,2018,6.5,71643
The Signal,2014,6.0,71522
Dead Man Down,2013,6.4,71197
The Frozen Ground,2013,6.4,71140
Arthur Christmas,2011,7.1,70722
Circle,2015,6.0,70484
In the Tall Grass,2019,5.5,70249
K-19: The Widowmaker,2002,6.7,70173
Chernobyl Diaries,2012,5.1,69836
Blood Father,2016,6.4,69760
The Little Prince,2015,7.6,69497
Spy Kids 3: Game Over,2003,4.4,69419
Tusk,2014,5.4,69377
What a Girl Wants,2003,5.8,69141
The Informant!,2009,6.5,69062
Silent Hill: Revelation,2012,4.9,68963
Mirage,2018,7.4,68754
Chennai Express,2013,6.2,68521
My Octopus Teacher,2020,8.1,68418
Penelope,2006,6.7,68325
Kahaani,2012,8.1,68252
Spectral,2016,6.3,68140
BASEketball,1998,6.5,68133
Mowgli: Legend of the Jungle,2018,6.5,68031
Velvet Buzzsaw,2019,5.7,67945
The White Tiger,2021,7.1,67872
Brooklyn's Finest,2009,6.7,67869
Sabotage,2014,5.7,67800
Monster-in-Law,2005,5.6,67715
Takers,2010,6.2,67533
Dennis the Menace,1993,5.7,67441
A Night at the Roxbury,1998,6.2,67277
"I, Daniel Blake",2016,7.8,67088
Becoming Jane,2007,7.0,67044
Wild Child,2008,6.1,66906
Dolemite Is My Name,2019,7.2,66855
Red Dawn,1984,6.3,66788
Free State of Jones,2016,6.9,66763
Ava,2020,5.5,66381
I Don't Feel at Home in This World Anymore,2017,6.9,66357
Who Am I,2014,7.4,65271
The Brave One,2007,6.7,65222
The Darkest Hour,2011,4.9,65209
A Bridge Too Far,1977,7.4,65201
The Peacemaker,1997,6.0,65170
Race to Witch Mountain,2009,5.7,65054
The Beguiled,2017,6.3,65046
Sanju,2018,7.6,64854
In the Shadow of the Moon,2019,6.2,64687
The Sweetest Thing,2002,5.2,64649
Sinister 2,2015,5.3,64523
Adrift,2018,6.6,64495
MR. RIGHT,2015,6.3,64262
Like Crazy,2011,6.6,64125
Batman: The Killing Joke,2016,6.4,64028
Executive Decision,1996,6.5,63916
Logan's Run,1976,6.8,63893
Hubie Halloween,2020,5.3,63784
Apostle,2018,6.3,63593
Stonehearst Asylum,2014,6.8,63042
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1991,6.0,62953
Ip Man 3,2015,7.0,62853
Jab We Met,2007,7.9,62673
The American President,1995,6.8,62596
The Crying Game,1992,7.2,62178
The Golden Child,1986,6.0,62014
Beavis and Butt-head Do America,1996,6.8,62001
Christmas with the Kranks,2004,5.5,61922
How It Ends,2018,5.1,61757
Miracle,2004,7.5,61719
Soldier,1998,6.1,61513
Special 26,2013,8.0,61168
Automata,2014,6.0,60861
A Bad Moms Christmas,2017,5.6,60806
Heartbreakers,2001,6.3,60770
Stuart Little 2,2002,5.5,60554
Planet 51,2009,6.0,60509
Extinction,2018,5.8,60467
An American Tail,1986,6.9,60317
Don 2,2011,7.1,60304
Traitor,2008,6.9,60266
Kuch Kuch Hota Hai,1998,7.5,60077
Miracle in Cell No. 7,2019,8.2,59817
Ma Rainey's Black Bottom,2020,6.9,59743
Haider,2014,8.0,59647
Apollo 18,2011,5.2,59327
Before I Fall,2017,6.4,59027
Hillbilly Elegy,2020,6.7,58986
Colonia,2015,7.0,58803
Man Up,2015,6.8,58687
The Dirt,2019,7.0,58676
Pieces of a Woman,2020,7.0,58555
Blood Red Sky,2021,6.1,58440
Walk of Shame,2014,6.0,58330
The Guns of Navarone,1961,7.5,58121
Vampire Academy,2014,5.4,58001
Wyatt Earp,1994,6.7,57618
The Garden of Words,2013,7.4,57577
To the Bone,2017,6.8,57474
Amy,2015,7.8,57138
